ds,yhat,yhat_lower,yhat_upper
2019-08-21,2893.3698480240646,964.6227824434944,4840.886771172753
2019-08-22,3017.8266466454966,1112.3922753631105,4846.791874853676
2019-08-23,2908.3835613837164,915.8824504602844,4839.6787850667115
2019-08-24,3846.3196892942156,1892.2206395099936,5671.860344304556
2019-08-25,3225.5033120719513,1350.7566531901164,5024.904512528376
2019-08-26,2678.9932180063947,884.5476174688675,4516.307139225423
2019-08-27,3472.114977030377,1625.0453315328773,5400.2656162111025
2019-08-28,2875.9392233596473,875.3136483354704,4743.046772012445
2019-08-29,3000.396021979852,1069.6574381162907,5011.011677943551
2019-08-30,2890.952936716132,1076.2074271979761,4686.01366040718
2019-08-31,3828.889064630298,2004.6357179530337,5615.952288299845
2019-09-01,3208.0726874064735,1411.1939232058382,5196.739535396693
2019-09-02,2661.562593340599,707.2607033582448,4621.104521855329
2019-09-03,3454.684352366937,1596.5624503254307,5333.540340742113
2019-09-04,2858.5085986942863,1054.5920589411155,4748.89632556141
2019-09-05,2982.9653973150025,1077.8027080010409,4721.561654873613
2019-09-06,2873.5223120516334,1025.5664790545559,4708.355931048585
2019-09-07,3811.4584399623236,1826.963807160331,5729.781997913602
2019-09-08,3190.642062738757,1334.8381807117207,5043.20573525595
2019-09-09,2644.1319686748034,750.292704901868,4550.485646290917
2019-09-10,3437.2537276999224,1505.7584166503966,5373.9771657101455
2019-09-11,2841.077974028856,988.090607757273,4665.9178665779355
2019-09-12,2965.534772649358,1057.2765440184191,4779.831888808028
2019-09-13,2856.0916873871356,989.640557522634,4678.877514727225
2019-09-14,3794.027815296468,1973.026286630774,5545.256400133796
2019-09-15,3173.2114380770613,1209.2531389652997,5146.4395995668065
2019-09-16,2626.701344010771,752.4759737881194,4504.898110982284
2019-09-17,3419.8231030351085,1583.303323683652,5315.521067018257
2019-09-18,2823.647349362954,998.9333098983425,4797.451210142164
2019-09-19,2948.1041479842374,1063.088846410208,4752.52857033581
2019-09-20,2838.6610627226373,943.238387273209,4709.646423493745
2019-09-21,3776.5971906305213,1975.3769442975433,5664.661114743104
2019-09-22,3155.7808134093452,1272.9121240806453,5092.82285891813
2019-09-23,2609.2707193449755,818.9360224005839,4553.581458128916
2019-09-24,3402.392478369468,1555.1289351185264,5293.064455929693
2019-09-25,2806.216724697051,879.4451106599589,4652.3088194769525
2019-09-26,2930.673523318339,1106.3510198363417,4999.795957911509
2019-09-27,2821.230438055053,852.2843590858887,4791.431554913024
2019-09-28,3759.1665659666937,1791.9007841306388,5566.900162467539
2019-09-29,3138.350188743867,1338.8943278923025,5016.463903184943
2019-09-30,2591.8400946811844,836.6759746167402,4501.232528060088
2019-10-01,3384.9618537038273,1456.9256472003237,5088.748030031684
2019-10-02,2788.7861000321627,894.2544160810643,4708.351014636949
2019-10-03,2913.2428986532195,1063.6177015889352,4875.041240653756
2019-10-04,2803.7998133905544,966.4560310005604,4611.134873060255
2019-10-05,3741.735941302866,1959.496923358495,5551.259282143889
2019-10-06,3120.9195640783887,1241.4333553917156,5038.1271005124345
2019-10-07,2574.409470013143,649.1218881323962,4303.308554788447
2019-10-08,3367.5312290390134,1414.879541951569,5227.924281323164
2019-10-09,2771.3554753667318,913.376698952846,4699.9046465688725
2019-10-10,2895.8122739875744,1065.111532487937,4755.333057397121
2019-10-11,2786.3691887243876,999.6093046109954,4783.498885508428
2019-10-12,3724.30531663692,1776.4651858106415,5582.716096704217
2019-10-13,3103.4889394144543,1235.4882793223755,5000.580574367912
2019-10-14,2556.978845349352,746.7458221070584,4395.815184383253
2019-10-15,3350.1006043741995,1285.1738918088984,5225.12709595443
2019-10-16,2753.9248507013012,955.5577024785391,4741.228268119888
2019-10-17,2878.3816493219297,968.8100705468462,4831.273816090968
2019-10-18,2768.9385640596365,980.9562511090639,4672.53850802694
2019-10-19,3706.874691971064,1862.6865067723757,5650.2768001085715
2019-10-20,3086.0583147467382,1264.1339193793076,4967.119676881563
2019-10-21,2539.5482206813103,702.9151737391043,4292.468757455121
2019-10-22,3332.669979708012,1492.8567014526407,5167.4607798529005
2019-10-23,2736.4942260364123,820.8718414679805,4699.461513622628
2019-10-24,2860.951024656556,860.3194488578381,4699.087471750916
2019-10-25,2751.5079393937212,794.3320247829989,4598.459810797869
2019-10-26,3689.4440673052086,1801.499022599676,5507.789040351291
2019-10-27,3068.627690079022,1353.126599190365,4912.739636381174
2019-10-28,2522.1175960172786,636.3937491152681,4407.282568006438
2019-10-29,3315.239355043745,1486.121004535041,5229.91682793973
2019-10-30,2719.0636013705102,838.0000238475334,4602.349298801233
2019-10-31,2843.520399991436,822.5759341356904,4750.9491641976965
2019-11-01,2734.077314729223,820.5894789432593,4726.240246100807
2019-11-02,3672.013442641381,1766.972300377937,5567.402068592877
2019-11-03,3051.1970654150878,1259.5385568703482,4949.331269440963
2019-11-04,2504.6869713514825,548.8138624164678,4462.776691706862
2019-11-05,3297.808730377557,1456.2121234223348,5334.790890584541
2019-11-06,2701.6329767046077,816.9944094861867,4726.00128802444
2019-11-07,2826.0897753255376,870.591002514858,4899.805596103249
2019-11-08,2716.6466900616388,769.9487021516661,4399.268786343491
2019-11-09,3654.5828179734062,1849.1068323996458,5515.671539270417
2019-11-10,3033.76644074961,976.6600638275777,4889.247082103693
2019-11-11,2487.256346685687,527.8352201582353,4342.150043648546
2019-11-12,3280.378105712743,1475.0789466855977,5189.610445740131
2019-11-13,2684.202352039177,723.8822839064243,4387.648251623783
2019-11-14,2808.659150660688,1022.6759372443419,4528.205560954521
2019-11-15,2699.216065397141,819.0304037004113,4662.4509764503955
2019-11-16,3637.1521933095787,1726.3641965609306,5495.495054756437
2019-11-17,3016.335816084132,1205.9282790926607,4997.605936631559
2019-11-18,2469.8257220198907,554.8918829624416,4208.097754000313
2019-11-19,3262.947481045728,1492.8383604977016,5209.362367668765
2019-11-20,2666.7717273738162,781.9670231799048,4455.344539563625
2019-11-21,2791.228525994519,1008.3726183538436,4660.84066751535
2019-11-22,2681.7854407326427,666.1805129887091,4587.475475152823
2019-11-23,3619.721568643723,1699.4751564007902,5455.387591648512
2019-11-24,2998.9051914217407,1132.1060372711763,4927.196450912126
2019-11-25,2452.3950973558594,512.2715180756593,4226.938675012271
2019-11-26,3245.5168563809143,1433.0889882560705,5053.985248619446
2019-11-27,2649.3411027083857,668.9025256431094,4488.1929386890115
2019-11-28,2773.797901329399,917.5576068229242,4633.747230499998
2019-11-29,2664.3548160681444,679.8251052982188,4560.305922505138
2019-11-30,3602.2909439798054,1763.6831322171206,5502.722482484717
2019-12-01,2981.474566756263,1130.5573680435468,4818.264546788487
2019-12-02,2434.964472688059,512.1765966140283,4350.558518233819
2019-12-03,3228.0862317161,1402.102796588769,5181.660762130627
2019-12-04,2631.9104780430253,723.4860631612619,4630.85191199759
2019-12-05,2756.367276664549,838.5603590310338,4611.626841504891
2019-12-06,2646.92419140056,789.8484154849692,4596.262105219644
2019-12-07,3584.8603193139493,1626.227404475093,5391.3045034710585
2019-12-08,2964.0439420885473,1112.7086748252118,5035.153560808374
2019-12-09,2417.533848024267,529.8203165494265,4318.636860107296
2019-12-10,3210.655607051287,1376.4475875965857,5060.1648664553495
2019-12-11,2614.479853378608,804.1333539233789,4529.65658204487
2019-12-12,2738.9366519989044,901.6610186869452,4512.907437585637
2019-12-13,2629.493566737479,867.2919167099219,4663.00745046444
2019-12-14,3567.4296946480936,1770.044095813158,5559.398238773378
2019-12-15,2946.6133174253073,1043.2255268482586,4800.4095999209985
2019-12-16,2400.1032233602355,468.65309685723105,4264.942992151723
2019-12-17,3193.224982384272,1314.220607473075,4999.826801668646
2019-12-18,2597.049228712706,618.5312215228964,4565.882858500102
2019-12-19,2721.5060273337845,796.7333340029819,4439.061392435388
2019-12-20,2612.0629420715636,792.745393191488,4675.91716141013
2019-12-21,3549.9990699800287,1714.2123119760486,5453.604309361898
2019-12-22,2929.1826927591346,1068.1891583937668,4983.738844099909
2019-12-23,2382.67259869444,548.5536104944505,4255.545554425557
2019-12-24,3175.794357720832,1245.5390889325552,5073.222277160398
2019-12-25,2579.6186040468037,725.3122966701384,4507.460785717136
2019-12-26,2704.075402667886,796.1254363129424,4708.515035248361
2019-12-27,2594.632317405649,708.4024871488106,4485.596258420701
2019-12-28,3532.568445316291,1521.0720948125527,5285.34234011396
2019-12-29,2911.752068093657,1097.0337930179205,4740.984732964888
2019-12-30,2365.241974030408,723.9623734715416,4155.2127827942095
2019-12-31,3158.363733054644,1307.2856388366276,5038.711068592752
2020-01-01,2562.187979380901,797.288584881698,4536.149806139944
2020-01-02,2686.644778002766,830.8384816297782,4597.056882992803
2020-01-03,2577.2016927411505,804.5754007214332,4381.2652070767335
2020-01-04,3515.1378206502545,1630.425941616496,5465.055048500803
2020-01-05,2894.3214434281786,1073.1168781345164,5032.468662950692
2020-01-06,2347.811349362607,465.85277884999795,4179.072928980313
2020-01-07,3140.933108389551,1296.0510595963501,4926.923681994759
2020-01-08,2544.7573547154702,666.1652932900323,4440.249941837282
2020-01-09,2669.2141533371214,790.8193701218383,4703.882395330424
2020-01-10,2559.771068071897,740.3817237948734,4547.1311838147685
2020-01-11,3497.707195986427,1569.3066026572767,5385.290930962465
2020-01-12,2876.8908187627007,955.6469252024302,4858.530050218649
2020-01-13,2330.3807246988163,510.55431465754793,4238.973555654186
2020-01-14,3123.502483723363,1166.061200879344,5003.594383323836
2020-01-15,2527.326730051595,493.7958870413113,4293.234700015849
2020-01-16,2651.7835286714767,783.5509425865423,4628.228781182038
2020-01-17,2542.340443410232,664.7599801849395,4431.158228884723
2020-01-18,3480.276571318543,1558.5059971235253,5429.694120030087
2020-01-19,2859.460194094984,902.8590711931201,4731.204025968653
2020-01-20,2312.9501000330206,455.2645790431198,4328.6604293394275
2020-01-21,3106.0718590571746,1280.586570141915,4945.537544256506
2020-01-22,2509.8961053861644,707.6956073472062,4483.933111093492
2020-01-23,2634.3529040058324,775.2939874875065,4402.74603733195
2020-01-24,2524.9098187443174,598.5788765103877,4478.4467136247295
2020-01-25,3462.845946654715,1554.6246597063698,5308.48590134486
2020-01-26,2842.0295694325937,962.6835722474951,4737.702702386809
2020-01-27,2295.519475367225,310.02538724503904,4193.316344561259
2020-01-28,3088.641234393735,1241.4406672436955,4981.179262613832
2020-01-29,2492.465480719791,522.4846073951896,4324.530631518225
2020-01-30,2616.9222793407125,675.2558184690445,4469.736073406062
2020-01-31,2507.479194076481,615.5414804911005,4377.866483127495
2020-02-01,3445.415321990888,1565.5459425625754,5355.482992775047
2020-02-02,2824.5989447648776,899.2717672529121,4654.6609430868475
2020-02-03,2278.0888507009468,341.58688145307946,4118.248459529906
2020-02-04,3071.2106097275473,1105.5607302361395,4785.299790577142
2020-02-05,2475.03485605436,435.3640317848023,4241.452317385017
2020-02-06,2599.491654675609,759.2821493242907,4466.761186300169
2020-02-07,2490.0485694105655,448.25778060358067,4366.743539444689
2020-02-08,3427.984697323004,1612.2576130204366,5371.233617887187
2020-02-09,2807.1683201016376,986.2830606277427,4631.694206433144
2020-02-10,2260.658226035151,468.89621066743143,4026.749029668077
2020-02-11,3053.779985061079,1189.3507876619735,4871.19919554344
2020-02-12,2457.604231388929,559.5144955121771,4349.501217537861
2020-02-13,2582.061030010489,729.998686303149,4501.782123345505
2020-02-14,2472.617944746067,590.2285069122412,4298.423395973887
2020-02-15,3410.554072659176,1414.028136936921,5423.71952164277
2020-02-16,2789.7376954339215,987.4190102106166,4546.071569028738
2020-02-17,2243.227601369356,289.386006022403,4112.734163860886
2020-02-18,3036.349360394891,1099.2250325695434,4863.571991066557
2020-02-19,2440.173606722555,771.8395580513017,4353.51748424685
2020-02-20,2564.630405343795,730.3622679396187,4437.004559160324
2020-02-21,2455.1873200815694,499.53293362449756,4429.244808663996
2020-02-22,3393.12344799314,1550.207741779735,5311.134788825647
2020-02-23,2772.3070707662055,867.6544277308383,4595.035701900665
2020-02-24,2225.796976705564,375.58807937038966,4150.094267475814
2020-02-25,3018.918735730078,1047.383188088746,5059.9575539590805
2020-02-26,2422.742982057124,699.8808891048765,4306.669311869174
2020-02-27,2547.199780679216,595.4213486036743,4407.227768116358
2020-02-28,2437.756695417071,694.7251831180207,4254.080824238657
2020-02-29,3375.6928233293124,1576.3684591010306,5218.354471461752
2020-03-01,2754.876446106053,888.566534896141,4723.896926101089
2020-03-02,2208.3663520377636,506.1691403987059,4102.587742666853
2020-03-03,3001.4881110652636,1048.4299156738778,4883.23189176827
2020-03-04,2405.3123573932485,481.8595912368221,4259.946943060995
